,Name,min1,index1,min2,index2,min3,index3,min4,index4,min5,index5,min6,index6,max,max_index,maxAi,maxA,maxAw,scan_number,maxA0i,maxA0,maxA0w,maxBi,maxB,maxBw,maxCi,maxC,maxCw,Int_A,Int_C,Int_N_A,Unnamed: 0
20,ASW_2020_09_16_21,-0.01115944,6636,-0.00122237,4151,-0.001286606,4103,0.006265688,2415,0.007034502,2279,0.01195875,513,0.3971992,5066,5066,0.4020804911468813,3242.286,21,5066.0,0.3971992,3242.286,2966,0.012110035408767771,2229.825,1699,0.020884217807474518,1618.973,109.66561049912556,8.12439711528942,114.33853670128521,
21,ASW_2020_09_16_22,-0.01091513,6630,-0.001349333,4151,-0.001461372,4111,0.006305324,2444,0.007057799,2279,0.01124095,513,0.4076662,5045,5045,0.4124652395421541,3232.161,22,5045.0,0.4076662,3232.161,2976,0.012183759636472705,2234.646,1535,0.02052917690939977,1539.905,109.89120331713079,8.369954121438193,114.57374218259876,
22,ASW_2020_09_16_23,-0.01083567,6630,-0.001539675,4151,-0.001649648,4084,0.006335274,2396,0.007175701,2279,0.01093007,513,0.4207224,5037,5037,0.4255844838624445,3228.304,23,5037.0,0.4207224,3228.304,2976,0.012484840336492891,2234.646,1535,0.020793096929784826,1539.905,110.39528632828623,8.440394395227706,115.09930451348076,
23,ASW_2020_09_16_24,-0.0141643,6636,-0.006225129,4149,-0.006254625,4101,0.003632545,2444,0.00486161,2279,0.01052373,513,0.4176071,5037,5037,0.42666696315681546,3228.304,24,5037.0,0.4176071,3228.304,2976,0.01149114116173808,2234.646,1697,0.019248081223103057,1618.009,108.09099253145227,7.265889048427589,112.69682319175449,
24,ASW_2020_09_16_25,-0.01377961,6636,-0.008597708,4151,-0.008598982,4122,0.00165873,2484,0.002441667,2281,0.008520604000000001,530,0.316756,5037,5037,0.32720125937706235,3228.304,25,5037.0,0.316756,3228.304,2978,0.008953146682539681,2235.61,1535,0.016275248932609936,1539.905,83.8408385271328,5.7852322635250175,87.41335364268583,
25,ASW_2020_09_16_26,0.002458585,6636,0.004937235,4151,0.0048947520000000005,4053,0.006343987,2329,0.006487896,2281,0.007813158,752,0.1083881,5036,5036,0.10433360353118712,3227.822,26,5036.0,0.1083881,3227.822,2978,0.004050404683874709,2235.61,1535,0.009391837890124264,1539.905,27.229288103044706,2.969524633024652,28.389546576633137,
26,ASW_2020_09_16_27,0.007302935999999999,6636,0.007753454,4533,0.008097657,3959,0.0075178990000000015,2300,0.007247122,2183,0.00768764,1010,0.0174177,5037,5037,0.009772216077032813,3228.304,27,5037.0,0.0174177,3228.304,2295,0.001529671311633513,1906.319,1495,0.004807430861040068,1520.62,3.1705717653787246,1.3992659776032446,3.3056719833124384,
27,ASW_2020_09_16_28,0.00788966,6332,0.008134915,4545,0.008502771,4139,0.00803514,2480,0.007282168,2087,0.007654733,904,0.01728204,5066,5066,0.009218629115836595,3242.286,28,5066.0,0.01728204,3242.286,2698,0.0016744092007233286,2100.615,1495,0.006588872033812341,1520.62,2.9667539307047437,1.8414888584586795,3.093169332169739,
28,ASW_2020_09_16_29,0.00826391,6332,0.008545485,4563,0.008895986,4139,0.008449464,2480,0.007718793000000002,2087,0.008125653,983,0.01782257,5066,5066,0.009357148439796494,3242.286,29,5066.0,0.01782257,3242.286,2698,0.00172028101748041,2100.615,1495,0.006579615695652174,1520.62,3.0230070423185125,1.8407841222590369,3.151819427104129,
29,ASW_2020_09_16_30,0.008618899000000001,6331,0.008640716,4562,0.009108813,4084,0.008596401,2480,0.0083807,2087,0.009009861,1029,0.01813442,5037,5037,0.009499562154324476,3228.304,30,5037.0,0.01813442,3228.304,2602,0.0015725550199501249,2054.332000000001,1574,0.0045987142221172025,1558.708,3.0258093826036263,1.3385549901845637,3.1547411770135128,
